iter	Passed	Remaining
0	24	2410
1	26	1283
2	28	915
3	30	729
4	33	640
5	36	573
6	38	512
7	40	471
8	43	437
9	45	407
10	47	388
11	50	371
12	52	353
13	55	338
14	57	323
15	59	311
16	61	299
17	63	289
18	66	282
19	68	273
20	70	264
21	72	256
22	74	249
23	76	242
24	78	235
25	80	229
26	82	224
27	85	219
28	87	214
29	89	208
30	91	203
31	93	198
32	95	193
33	97	189
34	99	184
35	101	179
36	102	175
37	104	170
38	106	166
39	108	162
40	109	158
41	113	156
42	115	152
43	116	148
44	118	145
45	120	141
46	122	137
47	123	134
48	125	130
49	128	128
50	130	125
51	132	122
52	134	119
53	136	116
54	138	113
55	140	110
56	144	108
57	146	106
58	148	103
59	150	100
60	152	97
61	154	94
62	156	92
63	160	90
64	162	87
65	165	85
66	167	82
67	169	79
68	172	77
69	175	75
70	178	72
71	181	70
72	183	67
73	185	65
74	187	62
75	191	60
76	194	57
77	196	55
78	198	52
79	200	50
80	202	47
81	205	45
82	208	42
83	211	40
84	213	37
85	215	35
86	218	32
87	220	30
88	224	27
89	226	25
90	228	22
91	231	20
92	233	17
93	235	15
94	238	12
95	241	10
96	243	7
97	245	5
98	247	2
99	250	0
