iter	Logloss
0	0.5603995004
1	0.4776897903
2	0.4111919859
3	0.3609791614
4	0.3268631674
5	0.2957181105
6	0.2667711987
7	0.248261316
8	0.2326862252
9	0.2139481481
10	0.1992526048
11	0.1896194608
12	0.1842399777
13	0.1769868971
14	0.1680179184
15	0.1617025443
16	0.1560983827
17	0.1499560003
18	0.1462663794
19	0.1428781488
20	0.1396116316
21	0.1369772788
22	0.1333786493
23	0.1289616906
24	0.1267187221
25	0.1240880164
26	0.1216385382
27	0.1209206087
28	0.1163250949
29	0.1147761816
30	0.1132875919
31	0.1105128432
32	0.1073587844
33	0.1050614488
34	0.1027957055
35	0.1009007326
36	0.100360185
37	0.09738640832
38	0.09650469009
39	0.0957717869
40	0.09396788138
41	0.09294463293
42	0.09193438316
43	0.08999668535
44	0.08902178963
45	0.08813145608
46	0.08746269158
47	0.08643019451
48	0.08532655676
49	0.08427480897
50	0.08344193168
51	0.0827920908
52	0.08248071049
53	0.08157618266
54	0.08092374099
55	0.07963165356
56	0.07879684607
57	0.07782775133
58	0.07698552789
59	0.07648600162
60	0.0761394652
61	0.07562014721
62	0.07461525196
63	0.07410781817
64	0.07362759371
65	0.07322856318
66	0.07304841038
67	0.0725114078
68	0.07104083424
69	0.07024403058
70	0.06972386951
71	0.06945260709
72	0.06880307872
73	0.06798936761
74	0.06764395716
75	0.06716708386
76	0.06657036786
77	0.06636811504
78	0.0659228127
79	0.06526211794
80	0.06429727489
81	0.06366907528
82	0.06315569447
83	0.06281577609
84	0.06243996861
85	0.06210286563
86	0.06164932098
87	0.06126631085
88	0.06073753982
89	0.06052580452
90	0.06037072514
91	0.05997042432
92	0.05985786597
93	0.05954876665
94	0.05941387118
95	0.05929319465
96	0.05910694916
97	0.05879192472
98	0.05863016032
99	0.05775629704
