iter	Passed	Remaining
0	3	3065
1	6	3009
2	9	3124
3	12	3143
4	16	3271
5	19	3199
6	22	3186
7	25	3154
8	28	3149
9	31	3114
10	34	3102
11	37	3083
12	40	3096
13	43	3093
14	47	3098
15	50	3095
16	53	3094
17	56	3085
18	59	3065
19	62	3065
20	65	3055
21	68	3059
22	71	3047
23	74	3048
24	77	3035
25	80	3031
26	83	3024
27	86	3012
28	89	3011
29	92	3002
30	96	3003
31	99	3001
32	102	3001
33	105	2997
34	108	2998
35	111	2995
36	114	2989
37	117	2984
38	120	2979
39	123	2973
40	127	2972
41	130	2974
42	133	2968
43	136	2965
44	139	2961
45	143	2969
46	146	2968
47	149	2967
48	152	2960
49	155	2962
50	158	2956
51	162	2953
52	164	2946
53	168	2944
54	171	2938
55	174	2933
56	177	2931
57	180	2926
58	183	2926
59	186	2922
60	189	2920
61	192	2913
62	195	2913
63	198	2909
64	202	2906
65	205	2901
66	208	2902
67	211	2900
68	214	2895
69	217	2890
70	220	2885
71	223	2881
72	226	2877
73	229	2875
74	232	2869
75	235	2868
76	238	2862
77	241	2860
78	245	2857
79	248	2854
80	255	2900
81	258	2895
82	261	2890
83	264	2884
84	267	2879
85	270	2877
86	273	2873
87	276	2869
88	279	2863
89	282	2859
90	285	2854
91	288	2850
92	291	2845
93	294	2841
94	297	2836
95	300	2833
96	304	2831
97	307	2825
98	310	2823
99	313	2818
100	316	2815
101	319	2810
102	322	2805
103	325	2801
104	328	2799
105	331	2796
106	334	2792
107	337	2790
108	340	2785
109	344	2784
110	347	2782
111	351	2784
112	354	2784
113	358	2787
114	362	2788
115	365	2786
116	369	2789
117	373	2790
118	387	2867
119	390	2866
120	394	2865
121	397	2863
122	401	2861
123	404	2860
124	408	2856
125	411	2855
126	414	2852
127	418	2850
128	421	2847
129	425	2846
130	429	2846
131	432	2845
132	435	2841
133	438	2835
134	441	2827
135	444	2824
136	447	2818
137	450	2813
138	453	2807
139	456	2801
140	458	2795
141	461	2790
142	465	2787
143	467	2781
144	471	2777
145	473	2772
146	476	2767
147	479	2762
148	482	2756
149	485	2751
150	488	2747
151	491	2744
152	494	2739
153	498	2736
154	501	2731
155	504	2729
156	507	2725
157	511	2724
158	514	2720
159	517	2716
160	520	2712
161	523	2709
162	526	2706
163	530	2702
164	547	2769
165	550	2765
166	553	2760
167	556	2754
